name,lat,lon_e,diameter_km,body,catalogue_scope
Lachappelle,26.719,336.702,36.8,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Maltby,-23.283,119.692,36.6,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Himiko,18.992,124.256,36.6,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Bickerdyke,-82.025,171.324,36.3,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Nijinskaya,25.791,122.517,36.2,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Bashkirtseff,14.678,194.043,36.2,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Bradstreet,16.512,47.693,36.0,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Whiting,-6.06,127.986,35.7,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Kahlo,-59.855,178.874,35.6,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Germain,-37.949,63.676,35.5,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Festa,11.478,27.245,35.3,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Wilder,17.39,122.559,35.1,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Grimke,17.237,215.34,34.8,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Hellman,4.747,356.265,34.7,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Bascom,-10.398,302.151,34.6,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Amaya,11.318,89.383,34.5,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Callirhoe,21.229,140.685,33.8,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Erinna,-78.002,309.121,33.8,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Callas,2.44,27.026,33.8,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Bourke-White,21.167,147.931,33.6,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Goppert-Mayer,59.669,26.832,33.5,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Gaze,17.888,240.216,33.3,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Edinger,-68.816,208.524,33.3,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Sabin,-38.505,274.727,33.1,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Olesnicka,18.306,210.9,33.0,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Landowska,84.57,74.3,33.0,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Sitwell,16.635,190.402,32.8,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
Von Siebold,-51.989,36.646,32.4,Venus,USGS Venus crater database; named and unnamed entries; no ring classification in supplied table
