crater_id,lat,lon_e,diameter_km,diameter_sd_km,mapped_arc_fraction,rim_point_count,body,source_doi,catalogue_scope
02-1-000663,42.1199,241.009,228.443,2.15559,0.300871,697,Moon,10.17189/0arb-tg89,Robbins 2018 lunar crater catalogue subset diameter >= 200 km; not a multiring classification
05-1-001581,-58.5399,345.386,221.213,4.68229,0.7225,1844,Moon,10.17189/0arb-tg89,Robbins 2018 lunar crater catalogue subset diameter >= 200 km; not a multiring classification
03-1-000154,-14.2188,207.427,218.529,6.64623,0.771032,1136,Moon,10.17189/0arb-tg89,Robbins 2018 lunar crater catalogue subset diameter >= 200 km; not a multiring classification
01-1-000384,70.1083,120.432,216.509,6.75878,0.985556,1094,Moon,10.17189/0arb-tg89,Robbins 2018 lunar crater catalogue subset diameter >= 200 km; not a multiring classification
00-1-000023,-22.5644,353.409,214.053,2.49586,0.367041,199,Moon,10.17189/0arb-tg89,Robbins 2018 lunar crater catalogue subset diameter >= 200 km; not a multiring classification
01-1-001478,61.6834,90.2801,213.6,3.4407,0.658235,595,Moon,10.17189/0arb-tg89,Robbins 2018 lunar crater catalogue subset diameter >= 200 km; not a multiring classification
02-1-000135,57.7072,260.575,209.369,3.24767,0.503181,810,Moon,10.17189/0arb-tg89,Robbins 2018 lunar crater catalogue subset diameter >= 200 km; not a multiring classification
00-1-000024,40.1834,251.963,209.32,1.88784,0.212152,104,Moon,10.17189/0arb-tg89,Robbins 2018 lunar crater catalogue subset diameter >= 200 km; not a multiring classification
00-1-000025,34.2737,105.487,208.894,0.815576,0.154597,121,Moon,10.17189/0arb-tg89,Robbins 2018 lunar crater catalogue subset diameter >= 200 km; not a multiring classification
05-1-000916,-44.5276,305.056,207.559,6.07203,0.913567,1062,Moon,10.17189/0arb-tg89,Robbins 2018 lunar crater catalogue subset diameter >= 200 km; not a multiring classification
07-1-000758,-27.1848,80.9605,204.247,4.16231,0.869878,2497,Moon,10.17189/0arb-tg89,Robbins 2018 lunar crater catalogue subset diameter >= 200 km; not a multiring classification
07-1-002088,-44.9395,40.7546,203.428,2.77379,0.435214,575,Moon,10.17189/0arb-tg89,Robbins 2018 lunar crater catalogue subset diameter >= 200 km; not a multiring classification
03-1-000809,-35.3456,193.981,202.26,3.39346,0.851004,2343,Moon,10.17189/0arb-tg89,Robbins 2018 lunar crater catalogue subset diameter >= 200 km; not a multiring classification
