candidate_id,crust1_cell_lat,crust1_cell_lon,crust1_context_only,crust1_crust_thickness_km,crust1_lower_crust_density,crust1_lower_crust_vp,crust1_sediment_thickness_km,crust1_upper_crust_density,crust1_upper_crust_vp,crust1_water_thickness_km,diameter_km,gravity_bouguer_angular_continuity,gravity_bouguer_annular_anomaly_robust,gravity_bouguer_annular_gradient_enrichment,gravity_bouguer_central_annular_contrast,gravity_bouguer_central_anomaly_robust,gravity_bouguer_diameter_pixels,gravity_bouguer_radial_alignment,gravity_bouguer_ring_score,gravity_bouguer_valid_fraction,gravity_disturbance_angular_continuity,gravity_disturbance_annular_anomaly_robust,gravity_disturbance_annular_gradient_enrichment,gravity_disturbance_central_annular_contrast,gravity_disturbance_central_anomaly_robust,gravity_disturbance_diameter_pixels,gravity_disturbance_radial_alignment,gravity_disturbance_ring_score,gravity_disturbance_valid_fraction,gravity_freeair_angular_continuity,gravity_freeair_annular_anomaly_robust,gravity_freeair_annular_gradient_enrichment,gravity_freeair_central_annular_contrast,gravity_freeair_central_anomaly_robust,gravity_freeair_diameter_pixels,gravity_freeair_radial_alignment,gravity_freeair_ring_score,gravity_freeair_valid_fraction,gravity_isostatic_angular_continuity,gravity_isostatic_annular_anomaly_robust,gravity_isostatic_annular_gradient_enrichment,gravity_isostatic_central_annular_contrast,gravity_isostatic_central_anomaly_robust,gravity_isostatic_diameter_pixels,gravity_isostatic_radial_alignment,gravity_isostatic_ring_score,gravity_isostatic_valid_fraction,lat,lon,magnetic_angular_continuity,magnetic_annular_anomaly_robust,magnetic_annular_gradient_enrichment,magnetic_central_annular_contrast,magnetic_central_anomaly_robust,magnetic_diameter_pixels,magnetic_radial_alignment,magnetic_ring_score,magnetic_valid_fraction,sediment_angular_continuity,sediment_annular_anomaly_robust,sediment_annular_gradient_enrichment,sediment_central_annular_contrast,sediment_central_anomaly_robust,sediment_diameter_pixels,sediment_radial_alignment,sediment_ring_score,sediment_valid_fraction,source_index,tid_annulus_transition_fraction,tid_artifact_risk,tid_background_transition_fraction,tid_direct_fraction,tid_dominant_flag,tid_dominant_fraction,tid_land_fraction,tid_modelled_fraction,tid_normalized_entropy,tid_transition_angular_coverage,tid_transition_enrichment,tid_unique_flags,tid_valid_fraction
arc_0010,-30.5,18.5,1,41.89999961853027,3.0,7.099999904632568,0.10000000149011612,2.7200000286102295,6.199999809265137,0.0,42.93097194739594,0.3055555555555556,-0.1359828419690883,0.9677305926103352,-0.30736705930414654,-0.4433499012732348,12.505622153940497,0.17778285865373655,0.1664212394718393,1.0,0.3611111111111111,0.01567483897818968,0.9424759396351886,-0.10407102143421623,-0.08839618245602655,12.505622153940497,0.1912735323208982,0.1780129737018615,1.0,0.4722222222222222,-0.17557195039248963,1.5982358594650885,-0.18312972103240727,-0.3587016714248969,12.505622153940497,0.0338981870283695,0.2694941932952184,1.0,0.3611111111111111,-0.16637734012011518,1.0180169509283832,-0.29521833952768395,-0.46159567964779913,12.505622153940497,0.14107680059567854,0.17621619953814194,1.0,-30.923065954965328,18.02718769691225,0.3611111111111111,-0.05949549678674902,0.8775796680886127,0.4574791361557785,0.3979836393690295,12.505431333289998,0.022709489481994603,0.16232777810353555,1.0,,,,,,5.002172533315626,,nan,0.0,10,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,-0.0,0.0,0.0,1,1.0
arc_0011,-30.5,17.5,1,32.69999980926514,3.0299999713897705,7.199999809265137,1.2999999523162842,2.7200000286102295,6.0,0.0,39.08334008714788,0.4444444444444444,-0.3267352601150821,1.448341876322233,-0.21741839574683391,-0.544153655861916,11.362959755459645,0.3698237013552456,0.23995666108677,1.0,0.2777777777777778,0.14431107521025757,1.0332814822973133,-0.38709049573636756,-0.24277942052610996,11.362959755459645,0.11785386113486582,0.13935662602812687,1.0,0.5,-0.29141228698550026,2.0536283110892946,-0.40399948493019056,-0.6954117719156908,11.362959755459645,0.5542349375328242,0.3138254538445275,1.0,0.4444444444444444,-0.3600999622345484,1.4924648337549207,-0.20433163109422198,-0.5644315933287704,11.362959755459645,0.39552951268540804,0.24694648433387456,1.0,-30.552659137096285,17.759498702260103,0.08333333333333333,-0.5911306914095941,0.7953853066896627,0.4623374061238694,-0.12879328528572462,11.362786370453652,0.2857892687159391,0.11696696773912019,1.0,,,,,,4.545114548181122,,nan,0.0,11,0.0,0.0,0.0017937219730941704,0.0,0,0.9998076676496986,0.9998076676496986,0.0001923323503013207,0.0017844208337194298,0.0,0.0,3,1.0
arc_0012,-30.5,17.5,1,32.69999980926514,3.0299999713897705,7.199999809265137,1.2999999523162842,2.7200000286102295,6.0,0.0,37.86755867589051,0.3055555555555556,-0.24349577235943107,1.2232142252392808,-0.441919941652164,-0.6854157140115951,10.990794096330411,0.30992672611551186,0.17566793363090055,1.0,0.1388888888888889,-0.31761258612540494,0.7755126380301972,0.1413459626200891,-0.17626662350531583,10.990794096330411,0.28793589783501056,0.11971730225019325,1.0,0.2222222222222222,-0.27877099882002543,0.9023340356240841,-0.25017120766319023,-0.5289422064832157,10.990794096330411,0.03206482854495814,0.11289657212740617,1.0,0.3055555555555556,-0.23285026676009543,1.1994326560279975,-0.4755220605641759,-0.7083723273242714,10.990794096330411,0.2534895541641752,0.16837070739515206,1.0,-30.22056521300046,17.578623834368376,0.1111111111111111,-0.0730402456756316,0.8025135118293746,-0.5939732994748782,-0.6670135451505098,10.990626390121998,-0.09092209241422497,0.08649918093451497,1.0,,,,,,4.396250556048353,,nan,0.0,12,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,-0.0,0.0,0.0,1,1.0
arc_0013,-29.5,17.5,1,36.90000057220459,3.0,7.099999904632568,0.10000000149011612,2.7200000286102295,6.199999809265137,0.0,52.44257964529836,0.4722222222222222,0.11446098985478535,1.087043807926913,-0.29591525148543757,-0.18145426163065223,15.18881415807901,-0.008219224597423963,0.25516566581771954,1.0,0.7777777777777778,-0.36421102904628755,2.0230526282704018,0.5656045222329981,0.2013934931867105,15.18881415807901,0.28568054848662094,0.509474547074804,1.0,0.5277777777777778,-0.14783461464823267,1.40200559628122,0.10514257085458383,-0.04269204379364884,15.18881415807901,0.2378296574072064,0.3607284370159295,1.0,0.4444444444444444,0.0925666238322284,0.9907443661832338,-0.30602639934554476,-0.21345977551331638,15.18881415807901,0.03164486326067734,0.23503041665599636,1.0,-29.79939695086871,17.353281360750433,0.19444444444444445,0.5191016524563885,0.5918937370380624,-0.34005770736784663,0.17904394508854188,15.188582395167716,-0.33530846431270533,0.1289320308314764,1.0,,,,,,6.075432958066633,,nan,0.11940298507462686,13,0.02744647219428079,0.55,0.00904977375565611,0.024363114459992823,0,0.8626480086114101,0.8626480086114101,0.11298887692859706,0.3388375676776207,0.0,3.032835177468027,4,1.0
arc_0014,-29.5,17.5,1,36.90000057220459,3.0,7.099999904632568,0.10000000149011612,2.7200000286102295,6.199999809265137,0.0,40.754399525820375,0.4722222222222222,-0.13388214697883624,1.5143975121808635,0.0678006630437584,-0.06608148393507784,11.7794952216442,0.1383083210974034,0.24626530157137871,1.0,0.25,-0.07420875961667367,0.9784835168671545,-0.4684067295181608,-0.5426154891348345,11.7794952216442,-0.007510765453815351,0.12699326574930028,1.0,0.1388888888888889,-0.2676469728135245,0.7792177633356101,-0.2766032730028633,-0.5442502458163878,11.7794952216442,-0.27865771490582125,0.08501335669488853,1.0,0.5,-0.1621102043195396,1.474775696061079,0.06690804995121878,-0.09520215436832082,11.7794952216442,0.11706409912713353,0.2446170803042242,1.0,-29.387001320235537,17.414290113047574,0.2222222222222222,0.8507381600559939,0.9727814584335036,-0.7993352947736165,0.051402865282377364,11.779315480811391,0.1963176157693113,0.13960631229287818,1.0,,,,,,4.711726192324205,,nan,0.0,14,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,-0.0,0.0,0.0,1,1.0
arc_0015,-29.5,17.5,1,36.90000057220459,3.0,7.099999904632568,0.10000000149011612,2.7200000286102295,6.199999809265137,0.0,24.204154897284567,0.027777777777777776,0.7141240242528095,1.1393278381360885,-0.4128210807639976,0.3013029434888119,6.994385823513114,0.12638810935353112,0.046482246011720525,1.0,0.0,-0.39788870093127243,0.8007079751074243,0.8941729467430488,0.4962842458117764,6.994385823513114,0.17572694432291172,0.038506344782531926,1.0,0.027777777777777776,-0.04196856734080566,1.3460376571344772,0.9252270096555493,0.8832584423147436,6.994385823513114,0.5780520411857617,0.07219059761354746,1.0,0.027777777777777776,0.6524487329523383,1.0671130821295818,-0.40330101642292904,0.24914771652940926,6.994385823513114,0.13605740703144667,0.04278902830437334,1.0,-29.3436154732967,17.06575905933677,0.027777777777777776,0.28458825657616893,1.0389570044308998,0.30345014839403084,0.5880384049701998,6.994279097655235,0.3352136411830978,0.04773363747394647,1.0,,,,,,2.797711639061945,,nan,0.06666666666666667,15,0.027210884353741496,0.1944921828380475,0.02564967937900776,0.03689287527500423,0,0.9045523777288882,0.9045523777288882,0.05855474699610763,0.24209891301087655,0.0,1.0608664518438955,5,1.0
arc_0016,-29.5,18.5,1,41.999999046325684,2.9200000762939453,6.900000095367432,0.0,2.740000009536743,6.099999904632568,0.0,137.8150903867814,0.6388888888888888,-0.18165238917461465,1.3245051100212875,-0.0668137956431879,-0.24846618481780255,39.85392036669224,0.03836219240180121,0.499396924804937,1.0,0.6388888888888888,0.13783536543795152,1.5399745858157514,0.3296394271456945,0.467474792583646,39.85392036669224,0.2002914892180897,0.5815527403764528,1.0,0.4444444444444444,0.06649516937810104,1.135265519434214,0.3142974447773905,0.3807926141554916,39.85392036669224,0.14606014328234668,0.39645004238134823,1.0,0.6388888888888888,0.16307974450168622,1.2793715399336858,0.18901240147081227,0.3520921459724985,39.85392036669224,0.011954695128193294,0.4824001807782068,1.0,-29.490835757173983,18.380996015013864,0.6111111111111112,-0.29145978658039184,1.2997450402796893,-0.13517240001058622,-0.42663218659097807,39.8533122441282,0.047796522826595945,0.4845770620021213,1.0,,,,,,15.941324897650087,,nan,0.0,16,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,-0.0,0.0,0.0,1,1.0
arc_0017,-27.5,17.5,1,41.499999046325684,3.0,7.099999904632568,0.5,2.7200000286102295,6.199999809265137,0.0,16.26683277697031,0.0,0.6217787066794634,0.8837314479934688,-0.698443919524026,-0.07666521284456246,4.6702913735992055,-0.309374973688367,0.005063187472967005,1.0,0.0,-0.49724619728129704,0.6472412587373584,0.9579746303437588,0.4607284330624618,4.6702913735992055,-0.131928262649247,0.006364104657000617,1.0,0.0,-0.058571242605419176,1.6518733948583257,0.6148196184124595,0.5562483758070403,4.6702913735992055,0.32449454197700345,0.016910842924536037,1.0,0.0,0.6111160728712475,0.8660626801032568,-0.6950619689168362,-0.08394589604558873,4.6702913735992055,-0.3124405945745683,0.005040712450086968,1.0,-27.983185704474913,17.203419521272277,0.0,0.25027457070450587,0.9859698345097154,0.13401481394190823,0.3842893846464141,4.670220110608291,0.3109042425858132,0.009609626101936235,1.0,,,,,,1.868088044243217,,nan,0.0,17,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,-0.0,0.0,0.0,1,1.0
arc_0018,-30.5,20.5,1,40.69999980926514,2.9200000762939453,6.900000095367432,0.5,2.740000009536743,6.099999904632568,0.0,243.7756311338938,0.3055555555555556,-0.1039539438366103,1.0430746640122215,-0.0152138888601044,-0.1191678326967147,70.88619768610414,0.02953375648591023,0.30002726477217845,1.0,0.3611111111111111,0.14611734778521263,0.9501772230804907,-0.20702068240889232,-0.0609033346236797,70.88619768610414,-0.025743422162300883,0.29688379001048626,1.0,0.25,-0.028106637203630477,0.9620814198425957,-0.08910477127737129,-0.11721140848100177,70.88619768610414,0.013327268879512062,0.2648322720539146,1.0,0.3055555555555556,0.08222002590230656,1.0416311310579698,-0.08196886746245469,0.0002511584398518767,70.88619768610414,0.02027835441472742,0.2979752854790438,1.0,-30.58464181842767,20.48142913557959,0.2222222222222222,-0.22236326952014943,0.9088449180074767,0.31361494341598983,0.09125167389584042,70.88511604856645,0.1164121058409032,0.2731498962999358,1.0,,,,,,28.354046419424467,,nan,0.0,18,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,-0.0,0.0,0.0,1,1.0
arc_0019,-31.5,25.5,1,35.69999980926514,2.940000057220459,7.0,2.299999952316284,2.7899999618530273,6.300000190734863,0.0,224.10709299171717,0.3055555555555556,-0.13616163798141134,1.0626911533767893,0.12752022530143498,-0.008641412679976368,65.65118868629769,0.11506668334673728,0.32086385995936695,1.0,0.2222222222222222,0.13978808158819198,0.8428196050863639,-0.0739720522521776,0.06581602933601438,65.65118868629769,-0.007377613423836868,0.2514866954286063,1.0,0.2222222222222222,0.07678766676754548,0.8841657223723657,-0.04619548712685914,0.030592179640686334,65.65118868629769,-0.006165322947755383,0.2516988462619206,1.0,0.3055555555555556,0.1947038400901551,1.0741114382774621,0.21582803203594195,0.41053187212609704,65.65118868629769,0.1282434673249277,0.326579866195149,1.0,-31.980959382376145,25.62750548849554,0.3333333333333333,0.04584718562911675,1.0489402515928505,-0.015360341347309295,0.030486844281807455,65.65018692865806,-0.12366226872773657,0.2846961344209032,1.0,,,,,,26.26007477146126,,nan,0.0,19,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,-0.0,0.0,0.0,1,1.0
