geophysical_review_rank,review_tier,candidate_id,name,lon,lat,diameter_km,followup_score,rank,data_quality,domain,tid_artifact_risk,tid_direct_fraction,gravity_bouguer_ring_score,gravity_freeair_ring_score,gravity_consensus_percentile,magnetic_ring_score,magnetic_ring_score_stratified_percentile,sediment_ring_score,geology_independence,geology_boundary_coincidence,geology_boundary_crossings,geology_nearby_types
11,A_cross_layer,arc_1088,#1086,101.64635137157296,58.35396299967667,147.20665327601853,0.7887634961415881,23.0,1.0,land,0.0,0.0,0.5019844492283436,0.5617693386554949,0.9657534246575342,0.3445107171635355,0.5342465753424658,,1.0,0.0,0.0,
12,A_cross_layer,arc_0437,#431,178.06333827217648,20.284956272714496,182.32914686449115,0.7850270697714451,28.0,1.0,ocean,0.1366466038186858,0.4166206622074437,0.6614942464434045,0.6205834213451523,0.9850746268656716,0.307379297819161,0.5373134328358209,0.2179051788078677,1.0,0.0,0.0,
13,A_cross_layer,arc_0753,#738,158.84142990050452,21.590380266755208,519.464279472331,0.7795581006586041,33.0,1.0,ocean,0.2086593919854487,0.5953378769278528,0.4484699659122571,0.685506109907348,0.9038461538461539,0.5368591941123354,0.9615384615384616,0.5418768210792436,1.0,0.0,0.0,
14,A_cross_layer,arc_0506,#500,47.81143777543517,-28.605698980226464,301.2279073652453,0.7781688661624033,34.0,1.0,ocean,0.2204319166960382,0.1691230850501849,0.5855306481540026,0.5095876093553745,0.8764705882352941,0.4307981369403916,0.8,0.6387913671159499,0.9678171252026224,0.0321828747973775,2.0,oceanic crust
15,A_cross_layer,arc_0795,#789,131.6253270694545,-29.758999127292764,91.18548522756274,0.7723501196093109,41.0,1.0,land,0.0,0.0,0.5983437104559522,0.6620438247268431,0.9744897959183674,0.4013451980711667,0.7244897959183674,,0.7955133379950964,0.2044866620049036,4.0,shield
16,A_cross_layer,arc_0687,#670,14.709196100985364,49.69813380055884,254.38124575736512,0.7712053900434495,43.0,1.0,land,0.0,0.0,0.5036406879038346,0.5852682588379816,0.9836065573770492,0.3589117989280299,0.7049180327868853,,0.9298414477267348,0.0701585522732652,3.0,accretionary complex;foredeep basin;orogenic belt;volcanic arc
17,A_cross_layer,arc_0278,#277,154.42462576519702,24.24377228935609,385.1841576192613,0.7660393443258443,50.0,1.0,ocean,0.2332750625000733,0.9417975359744928,0.4448680253050289,0.6363637076968831,0.9117647058823529,0.4144304971729258,0.7764705882352941,0.2904195374408651,1.0,0.0,0.0,
18,A_cross_layer,arc_0351,#339,-9.428431818746466,54.09746903605067,38.89730766945523,0.7654897534582721,51.0,1.0,land,0.0871717846016911,0.0879421363676457,0.3543608964629677,0.2820419620557068,0.8503937007874016,0.2149573603507828,0.6929133858267716,,0.7940772116831367,0.2059227883168633,0.0,craton;orogenic belt
19,A_cross_layer,arc_0674,#657,150.49928347184633,-31.136242573108287,157.67491440694593,0.764737408691644,52.0,1.0,land,0.0,0.0,0.5154633933698969,0.6207843039425924,0.9931506849315068,0.3032397258630153,0.3287671232876712,,0.9595320199959124,0.0404679800040876,2.0,orogenic belt;volcanic arc
20,A_cross_layer,arc_0443,#437,161.8936049565998,13.115142478572242,188.31613832528004,0.7645155823205931,54.0,1.0,ocean,0.1915724260850022,0.0999562636676038,0.5181769450377782,0.6126078163939352,0.9328358208955223,0.4659379923796801,0.9552238805970149,0.1881743182932169,1.0,0.0,0.0,
21,A_cross_layer,arc_0155,#157,86.05595504939274,-13.296604937262664,506.1503105367569,0.7641009775496619,55.0,1.0,ocean,0.2018649738363815,0.1981413313977602,0.473989169355738,0.6490409571027078,0.9038461538461539,0.3268888377774449,0.46153846153846156,0.3582740163843378,1.0,0.0,0.0,
22,A_cross_layer,arc_0394,#387,-124.10270417464376,53.70703910869137,27.088836893880018,0.7610759643933511,60.0,1.0,land,0.0,0.0,0.1306324065202703,0.1865068567723067,0.875,0.0533737350191996,0.5,,1.0,0.0,0.0,accretionary complex;volcanic arc
23,A_cross_layer,arc_1105,#1101,-12.158689207324755,38.06887838602087,361.0976902676189,0.7588566067649023,66.0,1.0,ocean,0.0134886670682448,0.9920324198090528,0.5605726305374966,0.7320144096883296,0.9941176470588236,0.3181271839152317,0.4470588235294118,0.3779436402116138,0.8922578858223151,0.1077421141776848,5.0,oceanic crust;passive margin
24,A_cross_layer,arc_1095,#1092,-8.541598750494318,53.87878446806256,70.30626152736806,0.7585739567453397,67.0,1.0,land,0.038998342775658,0.025967330547566,0.4090431150595555,0.4700983960528464,0.831858407079646,0.2370960933340594,0.25663716814159293,,1.0,0.0,0.0,
25,A_cross_layer,arc_0697,#680,96.32263092501,72.9844766967259,48.98201640063173,0.7529407477165038,78.0,1.0,land,0.0,0.0,0.5560244892021579,0.3692647359610426,0.9685039370078741,0.3087885357511131,0.905511811023622,,1.0,0.0,0.0,
26,A_cross_layer,arc_1174,#1172,-22.873675234222965,-51.007339037396406,297.4418711349734,0.7516481855390634,79.0,1.0,ocean,0.2271355281102759,0.1572994162408825,0.5342318161727262,0.5566382276328187,0.8941176470588235,0.3365233161029315,0.5058823529411764,0.2779427974602206,1.0,0.0,0.0,
27,B_gravity_supported,arc_1039,#1038,45.2124205802422,-10.130693405046094,552.0622895032494,0.7892425874371749,22.0,1.0,ocean,0.2961074538209319,0.2033124760229121,0.4456097364841139,0.5345328527802945,0.8205128205128205,0.5024649802920261,0.9358974358974359,0.3151158177776608,0.9292157723563924,0.0707842276436075,2.0,oceanic crust
28,B_gravity_supported,arc_0756,#750,166.95238308822462,13.430230366329187,528.0872784849843,0.7864889086950692,26.0,1.0,ocean,0.2009075599969836,0.1569551556698086,0.4041782157901222,0.5714472178476029,0.782051282051282,0.3567736385195041,0.5769230769230769,0.3951653699204329,1.0,0.0,0.0,
29,B_gravity_supported,arc_1121,#1117,74.30736298706968,-44.98203768922405,580.7012174060754,0.7757733789750239,35.0,1.0,ocean,0.2782637971939629,0.2373320277774199,0.4223931777151383,0.5728139293820952,0.8205128205128205,0.4777462585507425,0.8974358974358975,0.2890085569973938,1.0,0.0,0.0,
30,B_gravity_supported,arc_0445,#440,149.21688808088476,18.479201570217917,341.8092863157539,0.7717603761343628,42.0,1.0,ocean,0.2955229790563644,0.8141538006943931,0.502340826238707,0.6265435396474331,0.9411764705882353,0.4030479373751821,0.7647058823529411,0.4268133810270254,0.9306180900424836,0.0693819099575164,2.0,accretionary complex;oceanic crust
31,B_gravity_supported,arc_0166,#168,-124.56004992636788,70.00357181515265,170.70316820578518,0.7555024726092661,72.0,1.0,mixed,0.333168899048639,0.2080129232083734,0.3838194559042662,0.5063439882021006,0.8500000000000001,0.2283396756536497,0.1,0.2310680676056268,0.929442639133028,0.0705573608669719,3.0,craton;orogenic belt;shield
32,B_gravity_supported,arc_0442,#436,162.97984579206187,16.69387559133835,658.6855077520889,0.7536474810652237,76.0,1.0,ocean,0.30702573547955,0.2395564089309012,0.4172231301978544,0.5530645449360186,0.7948717948717948,0.4158662679183498,0.7435897435897436,0.3530007539027774,1.0,0.0,0.0,
33,C_morphology,arc_0373,#362,-10.048177259562918,59.22698400843728,67.19707919027252,0.8947487411290895,1.0,1.0,ocean,0.0030992577524577,0.8893385575088931,0.3438962461530147,0.7445132904594701,0.6666666666666666,0.4290807998320309,0.9166666666666666,0.1589717962153004,1.0,0.0,0.0,
34,C_morphology,arc_0306,#308,8.712642616555234,18.77283818191428,28.606728758853023,0.8650939259654475,2.0,1.0,land,0.0,0.0,0.0640446594598956,0.0457676915376132,0.4193548387096774,0.0648362442774746,0.5887096774193549,,1.0,0.0,0.0,
35,C_morphology,arc_0992,#991,-69.45542188846204,-46.3173611354684,20.000993445503205,0.8500600935980319,3.0,1.0,land,0.0,0.0,0.0619234904515785,0.0275210256721278,0.2862903225806452,0.0346561395323308,0.1774193548387097,,1.0,0.0,0.0,
36,C_morphology,arc_1007,#1006,-69.45287807102301,-43.04437465520966,27.3726670710539,0.8184804777121826,5.0,1.0,land,0.0,0.0,0.0546284997324227,0.0742189703294195,0.45161290322580644,0.0906520993004683,0.7419354838709677,,1.0,0.0,0.0,
