candidate_id,null_count,null_p_gravity_bouguer_ring_score,null_p_gravity_freeair_ring_score,null_p_magnetic_ring_score,null_p_tid_artifact_risk,observed_gravity_bouguer_ring_score,observed_gravity_freeair_ring_score,observed_magnetic_ring_score,observed_tid_artifact_risk
arc_0109,19,0.95,0.05,0.75,0.55,0.23453612458517054,0.5211608589341753,0.24361644976119162,0.18680735194672596
arc_0110,19,0.3,0.15,0.05,1.0,0.35324918158611585,0.40503399843448984,0.6443005255893444,0.18209207796309032
arc_0111,19,0.05,0.05,0.2,0.5,0.4079344538728855,0.5101124261403553,0.40760188763538646,0.2879055522150681
arc_0112,19,0.35,0.1,0.35,0.8,0.31863226173266485,0.550558039902725,0.3559419976014354,0.24508197908354756
arc_0113,19,0.45,0.65,0.1,0.1,0.30099999026467145,0.3059771496813224,0.4385413761717007,0.33277537820749903
arc_0114,19,0.8,0.15,0.2,1.0,0.24100743546104933,0.37964846856554585,0.3915910816720049,0.0
arc_0115,19,0.9,0.8,0.5,1.0,0.25510348618357004,0.27335040414037654,0.3329622889548039,0.0
arc_0116,19,0.85,0.05,0.45,1.0,0.2746143629306943,0.5016622594946433,0.3357702883063802,0.0
arc_0117,19,0.5,0.45,0.7,1.0,0.3152228412111493,0.29771471270265515,0.3065015113549372,0.0
arc_0118,19,0.15,0.05,0.75,1.0,0.4645236190235362,0.48959487427970905,0.256769162145446,0.0
arc_0119,19,0.75,0.9,0.5,1.0,0.27717781621457843,0.26569921188234996,0.4223888431451447,0.0
arc_0120,19,0.95,0.55,0.1,1.0,0.2500962135537784,0.37443966687969077,0.5443812390466612,0.0
arc_0121,19,0.15,0.45,0.55,1.0,0.4094992586276779,0.3720323196653957,0.3552647594341745,0.0
arc_0122,19,0.6,0.15,0.95,1.0,0.16139136034380397,0.2923860817911059,0.11166638506930542,0.0
arc_0123,19,0.85,0.55,0.9,1.0,0.25353774198089307,0.30296000387354294,0.26143039538700846,0.0
arc_0124,19,0.75,0.95,0.25,1.0,0.2586015627330665,0.2032990274727589,0.4194364230391482,0.0
arc_0125,19,0.05,0.45,0.25,1.0,0.499601690956452,0.3816161071082958,0.3594913360683648,0.0
arc_0126,19,0.05,1.0,0.65,1.0,0.4522847142393802,0.20695575391710097,0.3123456944207821,0.0
arc_0127,19,0.8,0.65,0.55,1.0,0.25377920055973185,0.2703123739217945,0.259458262373862,0.0
arc_0128,19,0.6,0.5,0.15,1.0,0.28710495223796045,0.29987514936720977,0.4314349317492082,0.0
arc_0129,19,0.25,0.9,0.3,1.0,0.07497614794602969,0.040556639928641856,0.06899473491865205,0.0
arc_0130,19,0.2,0.05,0.35,1.0,0.36776765862218797,0.5038691784387507,0.3297519424893499,0.0
arc_0131,19,0.25,0.15,0.65,0.65,0.3112360558394561,0.3318751137245566,0.31155755354999093,0.09659260633036598
arc_0132,19,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
arc_0133,19,0.05,0.5,0.35,1.0,0.06947658417341275,0.02876857997733034,0.030838834764354266,0.0
arc_0134,19,nan,nan,nan,1.0,nan,nan,nan,0.0
arc_0135,19,nan,nan,nan,1.0,nan,nan,nan,0.0
arc_0136,19,0.9,0.55,0.75,1.0,0.2466427898227052,0.32143560684237693,0.28962029069312756,0.0
arc_0137,19,0.45,0.25,0.85,1.0,0.3319830645935186,0.4289189523795606,0.15216309933406996,0.0
arc_0138,19,nan,nan,nan,1.0,nan,nan,nan,0.0
arc_0139,19,nan,nan,nan,1.0,nan,nan,nan,0.0
arc_0140,19,nan,nan,nan,1.0,nan,nan,nan,0.0
arc_0141,19,nan,nan,nan,1.0,nan,nan,nan,0.0
arc_0142,19,nan,nan,nan,1.0,nan,nan,nan,0.0
arc_0143,19,0.45,0.65,0.35,1.0,0.2966844137506786,0.28111453244135387,0.3322739688519884,0.0
arc_0144,19,0.2,0.35,0.15,1.0,0.3476677402746563,0.3515190391644287,0.5597200953545182,0.0
arc_0145,19,0.3,0.1,0.8,1.0,0.05222109838425214,0.07116572596865096,0.03239029934647993,0.0
arc_0146,19,0.1,0.3,0.2,1.0,0.09419531796252205,0.0817478513485662,0.09568092743784849,0.0
arc_0147,19,0.1,0.1,0.7,1.0,0.3857777715837906,0.3688093550468804,0.32231490547246705,0.0
arc_0148,19,0.15,0.1,0.85,1.0,0.3556662740251191,0.3706534805200354,0.280586019120062,0.0
arc_0149,19,0.9,0.65,0.55,1.0,0.10581200961619062,0.1459795324178539,0.15080343876532212,0.0
arc_0150,19,0.75,0.65,0.9,1.0,0.258130430191195,0.26623145878076315,0.2678330727765805,0.0
arc_0151,19,0.95,0.4,0.95,0.85,0.23482438307393633,0.3331333282627761,0.16146107453443057,0.2801656329190232
arc_0152,19,0.05,0.05,0.35,0.55,0.42209277356779795,0.47188777279141453,0.4766435683791211,0.2749838064449367
arc_0153,19,0.6,0.4,0.75,0.85,0.2672406033412409,0.3025791423543747,0.2682252100214171,0.13991711164856274
arc_0154,19,0.1,0.15,0.85,0.55,0.48173298495086614,0.41606625256577856,0.2767296481741064,0.26980333701044223
arc_0155,19,0.1,0.05,0.6,0.75,0.47398916935573804,0.6490409571027078,0.3268888377774449,0.20186497383638152
arc_0156,19,0.6,0.1,0.45,1.0,0.2735529377140641,0.4501367414849059,0.3335450101480795,0.0
arc_0157,19,0.35,1.0,0.05,1.0,0.2914932022117623,0.12961964646415536,0.5174844717766897,0.0
arc_0158,19,0.1,0.3,0.1,1.0,0.3353184022493618,0.2767305506499412,0.3159653451600773,0.0
arc_0159,19,0.6,0.75,0.9,1.0,0.08459746615429334,0.057906051118824436,0.04634688257122995,0.0
arc_0160,19,0.9,0.95,0.2,1.0,0.03518714528075883,0.027386772972102978,0.07860746192185356,0.0
arc_0161,19,0.45,0.05,0.85,1.0,0.06307005123080199,0.10448879247048984,0.048914437101166705,0.0
arc_0162,7,0.75,0.875,0.25,0.125,0.08591190980538772,0.11257870799350947,0.11680409365898037,0.4435687238106593
arc_0163,19,0.2,0.7,0.9,0.05,0.22490687220249878,0.11503879254121152,0.09029117638452142,0.5423275199144078
arc_0164,19,0.85,0.55,0.6,1.0,0.025386548759723883,0.03431694570291188,0.036435897256791396,0.0
arc_0165,19,0.8,0.25,0.6,1.0,0.2793003215950897,0.38015291646482186,0.3080530360895217,0.0
arc_0166,19,0.3,0.1,1.0,0.25,0.38381945590426625,0.5063439882021006,0.22833967565364977,0.333168899048639
arc_0167,19,0.7,0.95,0.8,1.0,0.04171871558487807,0.02802725386076653,0.040985969109866974,0.0
arc_0168,19,0.75,0.1,0.2,1.0,0.12752422954902343,0.28622360891393517,0.17167732558233156,0.0
arc_0169,19,0.15,0.75,0.2,1.0,0.03966443093258858,0.020381814288225233,0.0371269530376904,0.0
arc_0170,19,nan,nan,nan,1.0,nan,nan,nan,0.0
arc_0171,19,nan,nan,nan,1.0,nan,nan,nan,0.0
arc_0172,19,nan,nan,nan,1.0,nan,nan,nan,0.0
arc_0173,19,0.25,0.15,0.5,1.0,0.060703665449242494,0.08717291718863472,0.05678654729707421,0.0
arc_0174,19,0.65,0.55,0.15,1.0,0.09976835447830659,0.10088633115840631,0.16927565988817336,0.0
arc_0175,19,0.45,0.15,0.05,1.0,0.020949512745943435,0.030171816530098917,0.030874787191819634,0.0
arc_0176,19,nan,nan,nan,1.0,nan,nan,nan,0.0
arc_0177,19,nan,nan,nan,1.0,nan,nan,nan,0.0
arc_0178,19,nan,nan,nan,1.0,nan,nan,nan,0.0
arc_0179,19,nan,nan,nan,1.0,nan,nan,nan,0.0
arc_0180,19,0.8,0.75,0.95,1.0,0.0022326749889335783,0.002748493676739692,0.0018606778112961076,0.0
arc_0181,19,0.65,0.45,0.9,1.0,0.008444876757181908,0.012348722336952113,0.008102230731522038,0.0
arc_0182,19,nan,nan,nan,1.0,nan,nan,nan,0.0
arc_0183,19,nan,nan,nan,1.0,nan,nan,nan,0.0
arc_0184,19,nan,nan,nan,1.0,nan,nan,nan,0.0
arc_0185,19,nan,nan,nan,1.0,nan,nan,nan,0.0
arc_0186,19,nan,nan,nan,1.0,nan,nan,nan,0.0
arc_0187,19,nan,nan,nan,1.0,nan,nan,nan,0.0
arc_0188,19,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
arc_0189,19,0.25,0.7,1.0,1.0,0.04649926787929136,0.026530403940146052,0.021844402829721252,0.0
arc_0190,19,0.2,0.8,0.55,1.0,0.06278530834758747,0.023094462092217865,0.03702273914100011,0.0
arc_0191,19,0.7,0.6,0.85,1.0,0.020344711524689033,0.018947411056383045,0.01529048591751948,0.0
arc_0192,19,0.85,0.35,0.95,1.0,0.013876923567593331,0.027412981148929004,0.009244010925286041,0.0
arc_0193,19,0.85,0.65,0.8,1.0,0.02042703372583248,0.020138642480221805,0.015689961842340876,0.0
arc_0194,19,0.05,0.15,0.35,1.0,0.3455304708053647,0.33619722870465557,0.221680850691669,0.0
arc_0195,19,0.05,1.0,1.0,1.0,0.30653821050759084,0.05959060377937098,0.08863805367410213,0.0
