structure_review_rank,structure_id,representative_candidate_id,representative_name,lon,lat,radius_km,diameter_km,member_count,member_candidate_ids,radius_min_km,radius_max_km,followup_score,review_tier,domain,geology_independence,geology_boundary_coincidence,geology_nearby_types,tid_artifact_risk,active_fault_coverage,nearest_active_fault_km,nearest_active_fault_name,nearest_active_fault_slip_type,fault_length_within_radius_km,fault_intersects_candidate,fault_search_degrees,active_fault_proximity_ratio,fault_control_flag
29,structure_0029,arc_1108,#1104,-15.635842598718966,30.547527906675615,292.3880535084465,584.776107016893,1,arc_1108,292.3880535084465,292.3880535084465,0.7848063869580528,C_morphology,ocean,1.0,0.0,oceanic crust;passive margin,0.3985710875453737,1,672.3536625971516,,Reverse,0.0,0,5,2.2995250815804233,no_mapped_active_fault_within_radius
30,structure_0030,arc_0982,#981,116.97752025040495,35.99475558765058,16.41064863672742,32.82129727345484,1,arc_0982,16.41064863672742,16.41064863672742,0.7838474381278884,C_morphology,land,1.0,0.0,,0.0,1,380.5622901678035,,Sinistral,0.0,0,5,23.189960286889338,no_mapped_active_fault_within_radius
31,structure_0031,arc_0304,#306,8.705393046772201,19.1364728691382,20.86301290536107,41.72602581072214,1,arc_0304,20.86301290536107,20.86301290536107,0.7832814009850165,C_morphology,land,1.0,0.0,,0.0,1,1349.1972136881095,Eastern Fault Zone,Normal,0.0,0,10,64.66933706115921,no_mapped_active_fault_within_radius
32,structure_0032,arc_0421,#415,11.000483542467947,40.63035817455184,62.07617033366613,124.15234066733225,1,arc_0421,62.07617033366613,62.07617033366613,0.7800172385250317,C_morphology,ocean,1.0,0.0,continental back-arc basin;orogenic belt,0.0,1,173.87343495501563,,Subduction_Thrust,0.0,0,2,2.8009691000657275,no_mapped_active_fault_within_radius
33,structure_0033,arc_0753,#738,158.84142990050452,21.590380266755204,259.7321397361655,519.464279472331,1,arc_0753,259.7321397361655,259.7321397361655,0.7795581006586041,A_cross_layer,ocean,1.0,0.0,,0.2086593919854487,1,1197.332349295812,,Subduction_Thrust,0.0,0,20,4.6098736587318605,no_mapped_active_fault_within_radius
34,structure_0034,arc_0506,#500,47.81143777543517,-28.605698980226464,150.61395368262265,301.2279073652453,1,arc_0506,150.61395368262265,150.61395368262265,0.7781688661624033,A_cross_layer,ocean,0.9678171252026224,0.0321828747973775,oceanic crust,0.2204319166960382,1,898.0912201307011,,Dextral_Transform,0.0,0,10,5.962868633162506,no_mapped_active_fault_within_radius
35,structure_0035,arc_1121,#1117,74.30736298706967,-44.98203768922405,290.3506087030377,580.7012174060754,1,arc_1121,290.3506087030377,290.3506087030377,0.7757733789750239,B_gravity_supported,ocean,1.0,0.0,,0.2782637971939629,1,570.2198920821423,,Spreading_Ridge,0.0,0,5,1.963901142240576,no_mapped_active_fault_within_radius
36,structure_0036,arc_0720,#703,57.2694149190834,46.06897765549382,32.69869379472072,65.39738758944144,1,arc_0720,32.69869379472072,32.69869379472072,0.7753387099526191,C_morphology,land,1.0,0.0,,0.0,1,785.3268700673159,,Reverse,0.0,0,5,24.017071599175278,no_mapped_active_fault_within_radius
37,structure_0037,arc_0210,#211,29.26526580426028,-29.333573406497475,17.930873566287246,35.86174713257449,1,arc_0210,17.930873566287246,17.930873566287246,0.7743185835353068,C_morphology,land,1.0,0.0,,0.0,1,297.6953314492541,,Sinistral_Transform,0.0,0,5,16.602388631470046,no_mapped_active_fault_within_radius
38,structure_0038,arc_1092,#1089,7.9807346208910985,52.62301648892784,17.65139525821828,35.30279051643656,1,arc_1092,17.65139525821828,17.65139525821828,0.7740379118412785,C_morphology,land,1.0,0.0,,0.0,1,170.84435540406162,,Sinistral-Normal,0.0,0,2,9.678801755035117,no_mapped_active_fault_within_radius
