replicate,fault_intersection_fraction,median_log1p_fault_proximity_ratio
230,0.1875,2.1486317768991148
231,0.125,2.15301904978954
232,0.28125,2.18805488507214
233,0.21875,1.842689986832226
234,0.21875,1.8392870437529458
235,0.1875,2.2694516836654
236,0.15625,2.229296149866352
237,0.09375,2.381187979936917
238,0.1875,1.8109563279253877
239,0.1875,1.8843735140136735
240,0.15625,1.8608808638727554
241,0.125,2.069004813680037
242,0.21875,2.2442500028724215
243,0.1875,1.7126606199136076
244,0.1875,2.0151704166944144
245,0.21875,2.424930262893487
246,0.1875,2.3404656480211656
247,0.25,1.6751274546830381
248,0.15625,2.1645034383527677
249,0.1875,1.910671525865446
250,0.0625,2.29113531344367
251,0.15625,1.509117103446724
252,0.28125,1.1671885250456295
253,0.25,2.114453148116346
254,0.125,2.376124749878638
255,0.09375,1.978425323603454
256,0.15625,2.273245954912491
257,0.28125,1.5889770237135221
258,0.1875,1.8968098127203472
259,0.1875,1.7831511021976025
260,0.125,2.4597854882211863
261,0.15625,2.0194358465959237
262,0.125,1.5707300316706774
263,0.3125,1.8710207026597838
264,0.125,1.6464168820650888
265,0.15625,2.037644197071651
266,0.25,1.4472705097184106
267,0.25,1.5912792718699316
268,0.1875,1.9500800410040502
269,0.34375,1.0743017917682218
270,0.25,1.857077110010084
271,0.09375,2.286501289562938
272,0.15625,1.6274617279339583
273,0.09375,2.111020354348181
274,0.125,1.9004178375145018
275,0.25,1.5747229020055469
276,0.21875,1.8146914989942151
277,0.09375,2.2445653041442117
278,0.125,1.9112286661851003
279,0.0625,2.427605245918401
280,0.15625,1.9236727127603495
281,0.125,2.0544017827573864
282,0.09375,1.921691804103364
283,0.09375,1.8367266845020627
284,0.21875,2.2383962141637728
285,0.25,1.7748779349254034
286,0.3125,1.412086873455999
287,0.125,2.041747358721994
288,0.09375,2.193811243439206
289,0.125,2.0940002664370416
290,0.21875,1.9988965876795712
291,0.21875,1.5830033759674995
292,0.25,2.2287882392354694
293,0.1875,2.5309794785635327
294,0.15625,2.18805488507214
295,0.15625,2.069004813680037
296,0.03125,1.6478862563685692
297,0.21875,1.6254563675151021
298,0.125,2.461953280733525
299,0.125,1.92147006275722
300,0.15625,1.8127492057901748
301,0.09375,2.331370560756941
302,0.15625,2.1231533061320373
303,0.09375,2.1158382665357767
304,0.15625,1.3211728601628665
305,0.21875,1.902970295665233
306,0.21875,1.7351882189575247
307,0.15625,1.3680660428315277
308,0.28125,1.3341170713653505
309,0.15625,2.476704064479274
310,0.09375,2.3344023944193437
311,0.09375,2.381187979936917
312,0.1875,1.4742660941240877
313,0.15625,2.0826952707156
314,0.09375,1.8399724734018617
315,0.1875,1.8596371433708774
316,0.15625,2.0049260992070312
317,0.1875,2.2161276575716813
318,0.125,1.7929155528717462
319,0.15625,2.345982490437163
320,0.15625,1.3922205114425252
321,0.09375,2.0038311868991356
322,0.21875,1.4886223081648389
323,0.1875,1.6449107318205485
324,0.15625,2.239945750813378
325,0.25,1.0791884688366369
326,0.21875,1.8524734773866776
327,0.21875,2.069735828650253
328,0.1875,2.1164388312561146
329,0.0625,2.095291751227766
330,0.25,2.188232813467809
331,0.125,2.0251669640749093
332,0.1875,2.0038311868991356
333,0.15625,2.0454187534864707
334,0.1875,1.7686587249676862
335,0.1875,1.5712073318531408
336,0.09375,1.6945818189884845
337,0.09375,2.3590277525576013
338,0.1875,2.114475152463653
339,0.125,1.8879678591984352
340,0.1875,1.462119588626773
341,0.125,2.174337341911259
342,0.21875,1.8710207026597838
343,0.09375,2.1547529643929817
344,0.1875,2.142574561482544
345,0.1875,1.7129800326709508
346,0.09375,2.199244310822354
347,0.21875,1.733263359721555
348,0.09375,2.473467922615679
349,0.25,2.2570145709903957
350,0.1875,1.549597266367804
351,0.15625,1.8493699832003565
352,0.3125,1.2275171878244624
353,0.21875,1.4145038266205987
354,0.25,1.6492601150698991
355,0.09375,2.0088654131737584
356,0.125,2.174494173372458
357,0.0625,2.286250190780976
358,0.21875,2.155643044710046
359,0.25,1.8109563279253877
360,0.1875,1.9616794725823588
361,0.125,1.731573391619716
362,0.1875,1.9579630931476766
363,0.15625,2.153644612068933
364,0.1875,1.7541009906636331
365,0.09375,2.2514990035622318
366,0.21875,1.526872483943038
367,0.21875,2.126723213173787
368,0.21875,1.8710207026597838
369,0.1875,2.1367069193685637
370,0.15625,1.910671525865446
371,0.25,1.864624975570159
372,0.1875,2.1202487860481267
373,0.21875,1.8717061323086999
374,0.21875,1.807651357725605
375,0.125,1.950898798171014
376,0.3125,1.885890734367887
377,0.15625,2.2384738841720133
378,0.21875,1.9772229002435782
379,0.125,2.1257969357038977
380,0.1875,1.79273769004817
381,0.15625,1.8225035862352745
382,0.1875,1.4634673745314757
383,0.125,2.10724931164584
384,0.15625,2.114559708769242
385,0.125,1.840846249888286
386,0.09375,2.310168000970437
387,0.21875,1.998412709991202
