candidate_id,structure_id,is_representative
arc_1026,structure_0451,1
arc_0630,structure_0452,1
arc_0887,structure_0453,1
arc_0159,structure_0454,1
arc_1110,structure_0455,1
arc_0005,structure_0456,1
arc_0004,structure_0456,0
arc_0619,structure_0457,1
arc_0612,structure_0458,1
arc_0956,structure_0459,1
arc_0468,structure_0460,1
arc_1312,structure_0461,1
arc_0432,structure_0462,1
arc_1071,structure_0463,1
arc_1100,structure_0464,1
arc_0408,structure_0465,1
arc_0045,structure_0466,1
arc_0296,structure_0467,1
arc_0577,structure_0468,1
arc_0853,structure_0469,1
arc_1180,structure_0470,1
arc_0374,structure_0471,1
arc_0007,structure_0472,1
arc_0130,structure_0472,0
arc_0917,structure_0473,1
arc_0157,structure_0474,1
arc_0372,structure_0475,1
arc_1279,structure_0476,1
arc_0765,structure_0477,1
arc_0203,structure_0478,1
arc_0072,structure_0479,1
arc_0367,structure_0480,1
arc_0764,structure_0481,1
arc_1251,structure_0482,1
arc_1151,structure_0483,1
arc_0718,structure_0484,1
arc_1158,structure_0485,1
arc_0259,structure_0486,1
arc_0903,structure_0487,1
arc_0455,structure_0488,1
arc_1157,structure_0489,1
arc_1000,structure_0490,1
arc_0999,structure_0490,0
arc_1144,structure_0491,1
arc_1068,structure_0492,1
arc_0484,structure_0493,1
arc_0662,structure_0494,1
arc_1102,structure_0495,1
arc_1025,structure_0496,1
arc_0966,structure_0497,1
arc_1017,structure_0498,1
arc_0929,structure_0499,1
arc_1113,structure_0500,1
arc_0732,structure_0501,1
arc_0926,structure_0502,1
arc_0976,structure_0503,1
arc_0376,structure_0504,1
arc_1138,structure_0505,1
arc_0855,structure_0506,1
arc_0194,structure_0507,1
arc_1137,structure_0508,1
arc_0708,structure_0509,1
arc_0988,structure_0510,1
arc_0665,structure_0511,1
arc_0043,structure_0512,1
arc_0902,structure_0513,1
arc_0770,structure_0514,1
arc_1290,structure_0515,1
arc_0460,structure_0516,1
arc_1282,structure_0517,1
arc_1302,structure_0518,1
arc_1115,structure_0519,1
arc_0735,structure_0520,1
arc_1198,structure_0521,1
arc_0349,structure_0522,1
